IGDB ID,Game name,Game release date,IGDB Edition ID,Game Edition name,Platform,Type,Status,Completion,Ownership,Acquisition,State,Format,Digital service,Subscription,Playtime,Times completed,Completion date,Completion date type,Progress notes,Borrowed from,Returned to owner,Lent to,Lent out,Condition,Region,Collection notes,Amount paid,Acquisition date,Acquisition Source,Additional Cost,Game condition,Manual condition,Box condition,Manual progress,Acquisition Notes,Rating (Score),Rating (Gameplay),Rating (Sound),Rating (Story),Rating (Visual),Rating (Accessibility),Tags,Date added,Last updated
1096,"Donkey Kong 64",1999-11-22,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,2655,,2025-06-29,day,"K.Rool defeated and bananas saved! (200/200 GBs). What a bizarre final battle, haha.","",,"",,,,"",,,,,,,,0,"",7,7,7,6,8,4,,2024-02-19T00:12:11.000Z,2025-06-29T19:27:00.000Z
2290,"Pokémon Stadium 2",2000-12-14,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T00:12:17.000Z,2024-03-05T18:26:57.000Z
2723,"Diddy Kong Racing",1997-11-21,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:12:28.000Z,2024-03-05T18:24:59.000Z
2328,"Mario Party 2",1999-12-17,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T00:12:33.000Z,2024-02-19T00:12:33.000Z
4121,"Mortal Kombat Trilogy",1996-10-10,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:12:47.000Z,2024-02-19T00:12:47.000Z
2713,"Kirby 64: The Crystal Shards",2000-03-24,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T00:12:54.000Z,2024-02-19T00:12:54.000Z
2329,"Mario Party 3",2000-12-07,,,Nintendo 64,,Played,Continuous,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T00:13:01.000Z,2024-03-05T18:26:01.000Z
1622,"Mortal Kombat 4",1997-09-11,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:13:03.000Z,2024-02-19T00:13:03.000Z
1326,"Turok 2: Seeds of Evil",1998-12-10,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:13:09.000Z,2024-03-05T18:27:08.000Z
3489,"F-Zero X",1998-07-14,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:13:18.000Z,2024-03-05T18:25:32.000Z
3629,"Wave Race 64",1996-09-27,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:13:24.000Z,2024-03-05T18:25:46.000Z
3213,"Yoshi's Story",1997-12-21,,,Nintendo 64,,Playing,Beaten,Owned,,,Physical,,,159,,2025-07-13,day,"Finished 2 happy endings so far","",,"",,,,"",,,,,,,,,"",7,7,8,7,8,7,,2024-02-19T00:13:31.000Z,2025-07-13T23:06:19.000Z
3332,"Vigilante 8",1998-06-01,,,Nintendo 64,,Played,Completed,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T00:13:39.000Z,2024-07-08T16:00:08.000Z
3451,"Bomberman 64",1997-09-26,,,Nintendo 64,,Unplayed,Not Started,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:14:29.000Z,2024-02-19T00:14:29.000Z
3333,"Vigilante 8: 2nd Offense",1999-11-18,,,Nintendo 64,,Unplayed,Not Started,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:14:33.000Z,2024-02-19T00:14:33.000Z
3424,"Blast Corps",1997-03-21,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2024-02-19T00:14:37.000Z,2024-03-05T18:25:09.000Z
10680,"Duke Nukem 64",1997-10-31,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:15:27.000Z,2024-03-05T18:26:21.000Z
2847,"A Bug's Life",1998-10-31,,,Nintendo 64,,Played,Dropped,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2024-02-19T00:15:45.000Z,2025-02-23T21:00:30.000Z
1467,"Sin and Punishment",2000-11-21,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,2024-02-19T00:15:54.000Z,2024-02-19T00:15:54.000Z
3580,"Quest 64",1998-06-01,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:16:10.000Z,2024-03-05T18:27:20.000Z
3545,"Mystical Ninja Starring Goemon",1997-08-07,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,2025-06-01,day,"","",,"",,,,"",,,,,,,,0,"",9,8,9,10,9,8,,2024-02-19T00:16:14.000Z,2025-06-29T19:34:19.000Z
3440,"Army Men: Sarge's Heroes",1999-09-28,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:16:20.000Z,2024-03-05T18:23:55.000Z
2715,"Beetle Adventure Racing!",1999-02-28,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:16:28.000Z,2024-03-05T18:25:19.000Z
10613,"Killer Instinct Gold",1996-11-25,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T00:16:35.000Z,2024-02-19T00:16:35.000Z
3368,"Buck Bumble",1998-09-30,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:17:13.000Z,2024-03-05T18:24:27.000Z
534,"The Legend of Zelda: Skyward Sword",2011-11-18,,,Wii,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T18:35:39.000Z,2024-02-19T18:35:39.000Z
2178,"New Super Mario Bros. Wii",2009-11-12,,,Wii,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T19:13:21.000Z,2024-02-19T19:13:21.000Z
1077,"Super Mario Galaxy",2007-11-01,,,Wii,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,2024-02-19T19:18:54.000Z,2024-02-19T19:18:54.000Z
1078,"Super Mario Galaxy 2",2010-05-23,,,Wii,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T19:19:12.000Z,2024-02-19T19:19:12.000Z
116685,"Heave Ho",2019-08-29,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,230,,,,,,,,No,,,,,,,,,,,,,9,10,6,5,7,10,,2024-02-18T16:31:01.000Z,2025-02-23T21:21:56.000Z
145439,"Escape Simulator",2021-10-19,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,835,,,,,,,,No,,,,,,,,,,,,,8,,,,,,,2024-02-18T16:31:01.000Z,2024-10-08T11:01:07.000Z
144465,"Teenage Mutant Ninja Turtles: Shredder's Revenge",2022-06-16,207919,"Teenage Mutant Ninja Turtles: Shredder's Revenge - Limited Edition",Windows PC,,Played,Completed,Owned,,,Digital,,,0,,,,,,,,No,,,,,,,,,,,,,10,,,,,,,2024-02-18T16:38:17.000Z,2024-02-18T16:38:17.000Z
7431,"Ristar",1995-02-16,,,Windows PC,,Played,Beaten,Owned,,,Digital,,,,,,,,,,,No,,,,,,,,,,,,,10,,,,,,,2024-02-18T17:05:59.000Z,2024-02-27T22:37:15.000Z
6286,"AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity",2009-09-03,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
14818,"Aliens Versus Predator Classic 2000",2010-01-15,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,820,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:01:13.000Z
560,"Aliens vs. Predator",2010-02-16,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,52,,,,"","",,"",,,,"",,,,,,,,,"",6,,,,,,,2024-02-19T14:37:59.000Z,2025-07-08T15:53:20.000Z
2357,"Altitude",2009-05-01,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,286,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:01:13.000Z
111,"Amnesia: The Dark Descent",2010-09-08,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
9772,"And Yet It Moves",2009-04-02,,,Windows PC,,Played,Beaten,Owned,,,Digital,Steam,,856,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
15938,"1... 2... 3... Kick It!: Drop That Beat Like an Ugly Baby",2011-04-01,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,44,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
1062,"Alan Wake",2010-05-14,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
11092,"Anodyne",2013-03-22,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-08T13:56:06.000Z
9497,"140",2013-10-16,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:00:30.000Z
23400,"Ace of Spades: Battle Builder",2012-12-12,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,16,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:01:48.000Z
7960,"Angry Video Game Nerd Adventures",2013-09-20,,,Windows PC,,Played,Unfinished,Owned,,,Digital,Steam,,89,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-08T13:55:14.000Z
8760,"Anomaly Korea",2012-12-20,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-08T13:56:44.000Z
5574,"7 Days to Die",2024-07-25,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,122,,,,,,,,No,,,,,,,,,,,,,2,,,,,,,2024-02-19T14:37:59.000Z,2024-04-01T21:54:39.000Z
6705,"A Hat in Time",2017-10-05,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
16837,"9.03m",2013-09-12,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:00:30.000Z
4656,"A Boy and His Blob",2009-10-13,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
20850,"Ace Combat: Assault Horizon - Enhanced Edition",2013-01-25,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,12,,,,"","",,"",No,,,"",,,,,,,,,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-05-12T18:46:51.000Z
17155,"ACE Arena: Cyber Evolution",2014-07-01,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2025-02-23T21:01:13.000Z
14550,"Action Henk",2015-05-11,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
8654,"Adr1ft",2016-03-28,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-09T18:47:32.000Z
14396,"A Fistful of Gun",2016-09-23,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,27,,,,"","",,"",,,,"",,,,,,,,,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-07-08T15:51:29.000Z
4754,"Alien: Isolation",2014-10-06,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,131,,,,"","",,"",,,,"",,,,,,,,,"",5,,,,,,,2024-02-19T14:37:59.000Z,2025-07-08T15:52:02.000Z
11560,"AER: Memories of Old",2017-10-25,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
36159,"ADOM: Ancient Domains of Mystery",2015-11-16,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-09T18:47:42.000Z
19390,"1993 Space Machine",2016-03-28,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
7352,"Abzu",2016-08-02,,,Windows PC,,Played,Beaten,Owned,,,Digital,Steam,,171,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
25702,"Acceleration of Suguri 2",2011-08-13,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
34098,"5 Minutes Rage",2018-03-02,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
19333,"Absolver",2017-08-29,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
1021,"Aliens: Colonial Marines",2013-02-12,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
18637,"Aaero",2017-04-11,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
20927,"911 Operator",2017-02-24,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-08T13:53:39.000Z
11710,"60 Parsecs!",2018-09-18,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
28282,"A Case of Distrust",2018-02-08,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
111469,"Among Us",2018-06-15,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,7,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,8,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
113722,"Almost There: The Platformer",2018-05-09,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-09T18:47:52.000Z
131785,"Amnesia: Rebirth",2020-10-20,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
7211,"A Story About My Uncle",2014-05-28,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
102057,"Age of Wonders: Planetfall",2019-08-06,,,Windows PC,,No Status,No Status,Owned,,,Digital,Steam,,0,,,,"","",,"",,,,"",,,,,,,,0,"",,,,,,,,2024-02-19T14:37:59.000Z,2025-06-08T13:54:41.000Z
27316,"A Plague Tale: Innocence",2019-05-14,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:37:59.000Z,2024-02-19T14:37:59.000Z
116753,"A Short Hike",2019-07-30,,,Windows PC,,Played,Beaten,Owned,,,Digital,Steam,,0,,2024-12-16,day,,,,,No,,,,,,,,,,,,,7,7,8,8,7,8,,2024-02-19T14:38:00.000Z,2024-12-23T06:05:54.000Z
131622,"Ageless",2020-07-27,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
122050,"A Juggler's Tale",2021-09-28,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
10032,"Ancestors: The Humankind Odyssey",2019-08-27,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
144153,"Aliens: Fireteam Elite",2021-08-23,,,Windows PC,,Played,Unfinished,Owned,,,Digital,Steam,,82,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
203609,"Aces & Adventures",2023-02-23,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
261554,"An Arcade Full of Cats",2023-11-16,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,75,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T14:38:00.000Z,2025-02-23T21:00:30.000Z
7598,"Alien Swarm",2010-07-10,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,20,,,,"","",,"",,,,"",,,,,,,,,"",,,,,,,,2024-02-19T14:38:00.000Z,2025-07-08T15:51:48.000Z
116390,"Anniversary Collection Arcade Classics",2019-04-18,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
1117,"Haunted Castle",1987-12-26,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
1475,"Scramble",1981-02-01,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
1476,"Gradius",1985-05-29,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
1477,"Salamander",1986-07-04,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
4623,"TwinBee",1985-03-05,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
39324,"Ajax",1987-12-10,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
39999,"Vulcan Venture",1988-03-01,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
46772,"Thunder Cross",1988-12-31,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
261900,"Life Force",1987-12-31,,,,Bundled Game,,Not Started,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:38:00.000Z,2024-02-19T14:38:00.000Z
2956,"Audiosurf",2008-02-15,,,Windows PC,,Played,Continuous,Owned,,,Digital,Steam,,1653,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
7406,"Aquaria",2007-12-07,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:39:17.000Z,2025-02-23T21:02:45.000Z
7404,"Beat Hazard",2010-04-15,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:39:17.000Z,2025-02-23T21:05:36.000Z
1983,"Bastion",2011-07-20,,,Windows PC,,Played,Beaten,Owned,,,Digital,Steam,,798,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
9016,"Apotheon",2015-02-03,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
2064,"Antichamber",2013-01-31,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,59,,,,,,,,,,,,,,,,,,,,,5,5,6,5,7,7,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
7087,"Beatbuddy: Tale of the Guardians",2013-08-06,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
20042,"Badland: Game of the Year Edition",2015-05-26,,,Windows PC,,Played,Dropped,Owned,,,Digital,Steam,,142,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
2605,"BattleBlock Theater",2013-04-03,,,Windows PC,,Unplayed,Not Started,Owned,,,Digital,Steam,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T14:39:17.000Z,2024-02-19T14:39:17.000Z
